url路径	接口名称	wiki地址
/ws/shop/lists	运营服务>积分商城>商品列表	http://docs.dev.myamap.com/docs/oss/shop/lists
/ws/shop/content	运营服务>积分商城>商品详情	http://docs.dev.myamap.com/docs/oss/shop/content
/ws/shop/exchange	运营服务>积分商城>商品兑换	http://docs.dev.myamap.com/docs/oss/shop/exchange
/ws/shop/order	运营服务>积分商城>提交订单	http://docs.dev.myamap.com/docs/oss/shop/order
/path/to/upload/	文件服务>文件上传	http://docs.dev.myamap.com/docs/files/upload
/path/to/file	文件服务>文件下载	http://docs.dev.myamap.com/docs/files/download
/clusterservice/messagehandle	图层服务>主题频道相关图层	http://docs.dev.myamap.com/docs/layers/layerlist
/clusterservice/layer/point.action	图层服务>心情列表页	http://docs.dev.myamap.com/docs/layers/msglist
/clusterservice/messagehandle	图层服务>交通互助	http://docs.dev.myamap.com/docs/layers/trafficlist
/polling/{uuid}	推送服务>客户端>轮循接口	http://docs.dev.myamap.com/docs/messages/polling_message
/collector/client/behavior/	日志服务>客户端上报>行为日志	http://docs.dev.myamap.com/docs/logs/behavior
/collector/client/basestation/	日志服务>客户端上报>基站日志	http://docs.dev.myamap.com/docs/logs/basestation
/collector/client/crash/	日志服务>客户端上报>崩溃日志	http://docs.dev.myamap.com/docs/logs/crash
/ws/valueadded/deepinfo/mapping	增值服务>行业深度数据>ID映射	http://docs.dev.myamap.com/docs/valueadded/deepinfo/mapping?t=deepinfo
/ws/valueadded/deepinfo/search	增值服务>行业深度数据>信息查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/search?t=deepinfo
/ws/valueadded/deepinfo/poi_list	增值服务>行业深度数据>POI批量查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/poi-list?t=deepinfo
/ws/valueadded/hotel/search	增值服务>酒店>房型查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/hotel-search?t=deepinfo
/ws/valueadded/groupbuy/search	增值服务>团购>团购查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/groupbuy-search?t=deepinfo
/ws/valueadded/hotel/hotel_avail	增值服务>深度信息>房型可预订状态查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/hotel-avail?t=deepinfo
/ws/valueadded/deepinfo/pic_list	增值服务>深度信息>图片列表	http://docs.dev.myamap.com/docs/valueadded/deepinfo/pic-list?t=deepinfo
/ws/valueadded/deepinfo/review_list	增值服务>行业深度数据>评论列表	http://docs.dev.myamap.com/docs/valueadded/deepinfo/review-list?t=deepinfo
/ws/valueadded/cinema/movie_info	增值服务>行业深度数据>电影详情查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/cinema/movie-info?t=deepinfo
/ws/valueadded/cinema/movie_tickets	增值服务>行业深度数据>电影排期查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/cinema/movie-tickets?t=deepinfo
/ws/valueadded/cinema/cinema_info	增值服务>行业深度数据>影院信息查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/cinema/cinema-info?t=deepinfo
/ws/valueadded/cinema/movie_price	增值服务>行业深度数据>电影场次报价查询	http://docs.dev.myamap.com/docs/valueadded/deepinfo/cinema/movie-price?t=deepinfo
/ws/valueadded/weather/info/	增值服务>天气预报>详细信息查询	http://docs.dev.myamap.com/docs/valueadded/weather/info
/ws/valueadded/weather/summary/	增值服务>天气预报>天气概要	http://docs.dev.myamap.com/docs/valueadded/weather/summary
/ws/valueadded/weather/config/regions/	增值服务>天气预报>天气支持地区列表	http://docs.dev.myamap.com/docs/valueadded/weather/config/regions
/ws/valueadded/train/index/	增值服务>列车时刻表>车次查询	http://docs.dev.myamap.com/docs/valueadded/train/info
/ws/valueadded/train/station/	增值服务>列车时刻表>站站查询	http://docs.dev.myamap.com/docs/valueadded/train/station
/ws/valueadded/taxi/list/	增值服务>出租车>周边空车查询	http://docs.dev.myamap.com/docs/valueadded/taxi/query_taxi
/ws/valueadded/taxi/position/	增值服务>出租车>出租车位置查询	http://docs.dev.myamap.com/docs/valueadded/taxi/taxi_position
/ws/valueadded/semantic/	增值服务>语义解析	http://docs.dev.myamap.com/docs/valueadded/semantic/semantic
/ws/mapapi/indoor_maps/	增值服务>室内地图>室内地图	http://docs.dev.myamap.com/docs/valueadded/indoormap/indoor_map
/ws/activity/tmall/brand	增值服务>天猫双十一活动>品牌查询	http://docs.dev.myamap.com/docs/valueadded/activity/brand_search
/ws/activity/tmall/poi/	增值服务>天猫双十一活动>商家查询	http://docs.dev.myamap.com/docs/valueadded/activity/tmall-poi
/ws/activity/tmall/pc/brand	增值服务>天猫双十一活动>PC端品牌查询	http://docs.dev.myamap.com/docs/valueadded/activity/pc-brand_search
/ws/activity/tmall/pc/poi/	增值服务>天猫双十一活动>PC端商家查询	http://docs.dev.myamap.com/docs/valueadded/activity/pc-tmall-poi
/ws/valueadded/cms/tuan-search	增值服务>生活服务>团购查询	http://docs.dev.myamap.com/docs/valueadded/cms/tuan_search
/ws/valueadded/cms/tuan-shop	增值服务>生活服务>分店查询	http://docs.dev.myamap.com/docs/valueadded/cms/tuan_shop
/ws/valueadded/cinema/movielist	增值服务>生活服务-电影>电影列表	http://docs.dev.myamap.com/docs/valueadded/cinema/movie_list
/ws/valueadded/cinema/search	增值服务>生活服务-电影>影院查询	http://docs.dev.myamap.com/docs/valueadded/cinema/cinema_search
/ws/valueadded/streetview/	增值服务>街景服务>街景信息	http://docs.dev.myamap.com/docs/valueadded/streetview/streetview
/ws/valueadded/streetrecommend/	增值服务>街景服务>推荐街景	http://docs.dev.myamap.com/docs/valueadded/streetview/streetrecommend
/ws/valueadded/pm25/info/	增值服务>pm2.5>信息查询	http://docs.dev.myamap.com/docs/valueadded/pm2.5/info
/ws/valueadded/alimama/poiad/info/	增值服务>alimama>明星店铺	http://docs.dev.myamap.com/docs/valueadded/alimamapoiad/info
/ws/valueadded/threedimension/query/	增值服务>三维数据>三维数据查询	http://docs.dev.myamap.com/docs/valueadded/threedimension/query
/ws/transfer/poi/searchhomepage	主图页新首页加载、更新	2014-6-24添加,sp专用接口
