省份	province	城市	City	邮编/postalcode	区号
山西	Shanxi	临县	Linxian	033200	0358
山西	Shanxi	汾阳	Fenyang	033200	0358
山西	Shanxi	文水	Wenshui	032100	0358
山西	Shanxi	交城	Jiaocheng	030500	0358
山西	Shanxi	孝义	Xiaoyi	032300	0358
山西	Shanxi	交口	Jiaokou	032400	0358
山西	Shanxi	中阳	Zhongyang	033400	0358
山西	Shanxi	柳林	Liulin	033300	0358
山西	Shanxi	兴县	Xingxian	033600	0358
山西	Shanxi	岚县	Lanxian	035200	0358
山西	Shanxi	运城	Yuncheng	044000	0359
山西	Shanxi	芮城	Ruicheng	044600	0359
山西	Shanxi	平陆	Pinglu	044300	0359
山西	Shanxi	临猗	Linyi	044100	0359
山西	Shanxi	万荣	Wanrong	044200	0359
山西	Shanxi	稷山	Jishan	043200	0359
山西	Shanxi	河津	Hejin	043300	0359
山西	Shanxi	新绛	Xinjiang	043100	0359
山西	Shanxi	闻喜	Wenxi	043800	0359
山西	Shanxi	夏县	Xiaxian	044400	0359
山西	Shanxi	永剂	Yongji	044500	0359
山西	Shanxi	绛县	Jiangxian	043600	0359
山西	Shanxi	垣曲	Yuanqu	043700	0359
辽宁	Liaoning	沈阳	Shenyang	110013	024
辽宁	Liaoning	新民	Xinmin	110300	024
辽宁	Liaoning	辽中	Liaozhong	110200	024
辽宁	Liaoning	康平	Kangping	110500	024
辽宁	Liaoning	法库	Faku	110400	024
辽宁	Liaoning	铁岭	Tieling	112000	0410
辽宁	Liaoning	昌图	Changtu	112500	0410
辽宁	Liaoning	开原	Kaiyuan	112300	0410
辽宁	Liaoning	西丰	Xifeng	112400	0410
辽宁	Liaoning	铁法	Tiefa	112700	0410
辽宁	Liaoning	大连	Dalian	116011	0411
辽宁	Liaoning	庄河	Zhuanghe	116400	0411
辽宁	Liaoning	长海	Changhai	116500	0411
辽宁	Liaoning	瓦房店	Wafangdian	116300	0411
辽宁	Liaoning	普兰店	Pulandian	116200	0411
辽宁	Liaoning	金州	jinzhou	116100	0411
辽宁	Liaoning	新县	xinxian	116200	0411
辽宁	Liaoning	鞍山	Anshan	114001	0412
辽宁	Liaoning	海城	Haicheng	114200	0412
辽宁	Liaoning	台安	Taian	114100	0412
辽宁	Liaoning	岫岩	Xiuyan	114300	0412
辽宁	Liaoning	抚顺	Fushun	113008	0413
辽宁	Liaoning	清原	Qingyuan	113300	0413
辽宁	Liaoning	新宾	Xinbin	113200	0413
辽宁	Liaoning	本溪	Benxi	117000	0414
辽宁	Liaoning	桓仁	Huanren	117200	0414
辽宁	Liaoning	丹东	Dandong	118000	0415
辽宁	Liaoning	东港	Donggang	118300	0415
辽宁	Liaoning	凤城	Fengcheng	118100	0415
辽宁	Liaoning	宽甸	Kuandian	118200	0415
辽宁	Liaoning	锦州	Jinzhou	121000	0416
辽宁	Liaoning	凌海	Linghai	121200	0416
辽宁	Liaoning	黑山	Heishan	121400	0416
辽宁	Liaoning	义县	Yixian	121100	0416
辽宁	Liaoning	北镇市	beizhenshi	121300	0416
辽宁	Liaoning	营口	Yingkou	115003	0417
辽宁	Liaoning	盖州	Gaizhou	115200	0417
辽宁	Liaoning	大石桥	Dashiqiao	115100	0417
辽宁	Liaoning	阜新	Fuxin	123000	0418
辽宁	Liaoning	彰武	Zhangwu	123200	0418
辽宁	Liaoning	辽阳	Liaoyang	111000	0419
辽宁	Liaoning	灯塔	Dengta	111300	0419
辽宁	Liaoning	朝阳	Chaoyang	122000	0421
辽宁	Liaoning	建平	Jianping	122400	0421
辽宁	Liaoning	北票	Beipiao	122100	0421
辽宁	Liaoning	凌源	Lingyuan	122500	0421
辽宁	Liaoning	喀喇沁左翼	Kalaqinzuoyi	122300	0421
辽宁	Liaoning	盘锦	Panjin	124000	0427
辽宁	Liaoning	盘山	Panshan	124100	0427
辽宁	Liaoning	大洼	Dawa	124200	0427
辽宁	Liaoning	葫芦岛	Huludao	125000	0429
辽宁	Liaoning	绥中	Suizhong	121700	0429
辽宁	Liaoning	建昌	Jianchang	122200	0429
辽宁	Liaoning	兴城	Xingcheng	121600	0429
吉林	Jilin	长春	Changchun	130000	0431
吉林	Jilin	双阳	Shuangyang	130160	0431
吉林	Jilin	农安	Nongan	130120	0431
吉林	Jilin	九台	Jiutai	130500	0431
吉林	Jilin	德惠	Dehui	130300	0431
吉林	Jilin	榆树	Yushu	130400	0431
吉林	Jilin	吉林	Jilin	132000	0432
吉林	Jilin	永吉	Yongji	132200	0432
吉林	Jilin	磬石	Panshi	132300	0432
吉林	Jilin	桦甸	Huadian	132400	0432
吉林	Jilin	蛟河	Jiaohe	132500	0432
吉林	Jilin	舒兰	Shulan	132600	0432
吉林	Jilin	延吉	Yanji	133000	0433
吉林	Jilin	汪清	Wangqing	133200	0433
吉林	Jilin	和龙	Helong	133500	0433
吉林	Jilin	安图	Antu	133600	0433
吉林	Jilin	敦化	Dunhua	133700	0433
吉林	Jilin	图们	Tumen	133100	0433
吉林	Jilin	龙井	Longjing	133400	0433
吉林	Jilin	四平	Siping	136000	0434
吉林	Jilin	双辽	Shuangliao	136400	0434
吉林	Jilin	犁树	Lishu	136500	0434
吉林	Jilin	公主岭	Gongzhuling	136100	0434
吉林	Jilin	通化	Tonghua	134000	0435
吉林	Jilin	集安	Jian	134200	0435
吉林	Jilin	白城	Baicheng	137000	0436
吉林	Jilin	通榆	Tongyu	137200	0436
吉林	Jilin	大安	Daan	131300	0436
吉林	Jilin	洮南	Taonan	137100	0436
吉林	Jilin	镇赉	Zhenlai	137300	0436
吉林	Jilin	辽源	Liaoyuan	136200	0437
吉林	Jilin	东辽	Dongliao	136600	0437
吉林	Jilin	东丰	Dongfeng	136300	0437
吉林	Jilin	松原	Songyuan	131200	0438
吉林	Jilin	扶余	Fuyu	131200	0438
吉林	Jilin	前郭	Qianguo	131100	0438
吉林	Jilin	长岭	Changling	131500	0438
吉林	Jilin	乾安	Qianan	131400	0438
吉林	Jilin	临江	Linjiang	134600	0439
